accession	fonction	taille
AT3G42170	description:BED	3126
AT3G42180	description:Exostosin	4402
AT3G42310		1679
AT3G42390		446
AT3G42473	description:low-molecular-weight	891
AT3G42550	description:Eukaryotic	3407
AT3G42560	description:Pentatricopeptide	495
AT3G42565	description:ECA1	359
AT3G42570	description:peroxidase	1330
AT3G42628	description:phosphoenolpyruvate	137
AT3G42630	description:Pentatricopeptide	1669
AT3G42640	description:H[+]-ATPase	4224
AT3G42660	description:transducin	4421
AT3G42670	description:chromatin	4287
AT3G42723	description:ATP	2797
AT3G42725	description:Putative	869
AT3G42770	description:F-box/RNI-like/FBD-like	2961
AT3G42780		530
AT3G42786		779
AT3G42790	description:alfin-like	1902
AT3G42800	description:AF-like	1805
AT3G42830	description:RING/U-box	964
AT3G42850	description:Mevalonate/galactokinase	5317
AT3G42860	description:zinc	2085
AT3G42870	description:heat	1823
AT3G42880	description:Leucine-rich	2668
AT3G42940	description:C3HC4-type	581
AT3G42950	description:Pectin	3567
AT3G42960	description:TAPETUM	990
AT3G42990		798
AT3G42995	description:transmembrane	277
AT3G43083	description:low-molecular-weight	1557
AT3G43110	description:transmembrane	1000
AT3G43120	description:SAUR-like	1941
AT3G43148	description:myosin	3128
AT3G43150		737
AT3G43153	description:cAMP-dependent	812
AT3G43160	description:maternal	1664
AT3G43170		606
AT3G43180	description:RING/U-box	894
AT3G43190	description:sucrose	5095
AT3G43210	description:ATP	5382
AT3G43220	description:Phosphoinositide	6327
AT3G43230	description:RING/FYVE/PHD-type	2486
AT3G43240	description:ARID/BRIGHT	5116
AT3G43250	description:coiled-coil	989
AT3G43260	description:deoxyhypusine	2269
AT3G43270	description:Plant	3370
AT3G43280		473
AT3G43290		547
AT3G43291		831
AT3G43300	description:HOPM	11138
AT3G43340	description:Pseudouridine	990
AT3G43400	description:ELMO/CED-12	1567
AT3G43410	description:F-box/LRR	605
AT3G43415	description:F-box/LRR	497
AT3G43420		364
AT3G43430	description:RING/U-box	959
AT3G43432		307
AT3G43440	description:jasmonate-zim-domain	2611
AT3G43470	description:zinc	1713
AT3G43480	description:CCHC-type	485
AT3G43490	description:Zinc	1220
AT3G43500		461
AT3G43503		406
AT3G43505	description:low-molecular-weight	578
AT3G43520	description:Transmembrane	1965
AT3G43540	description:initiation	2695
AT3G43550	description:GDSL-like	1422
AT3G43570	description:GDSL-like	1420
AT3G43572	description:transmembrane	212
AT3G43574	description:beta-galactosidase-like	209
AT3G43580	description:Beta-galactosidase	1622
AT3G43583		302
AT3G43590	description:zinc	3047
AT3G43600	description:aldehyde	5713
AT3G43610	description:Spc97	6520
AT3G43630	description:Vacuolar	602
AT3G43645		367
AT3G43660	description:Vacuolar	823
AT3G43670	description:Copper	2917
AT3G43682		837
AT3G43700	description:BTB-POZ	2134
AT3G43710	description:Galactose	1136
AT3G43720	description:Bifunctional	1923
AT3G43740	description:Leucine-rich	1641
AT3G43750	description:RING/U-box	1106
AT3G43790	description:zinc	3631
AT3G43800	description:glutathione	1217
AT3G43810	description:calmodulin	3469
AT3G43833		1219
AT3G43837	description:reverse	1362
AT3G43840	description:3-oxo-5-alpha-steroid	1491
AT3G43850		2067
AT3G43860	description:glycosyl	3035
AT3G43870		974
AT3G43880		443
AT3G43890	description:Cysteine/Histidine-rich	2315
AT3G43910	description:MutS2	1302
AT3G43920	description:dicer-like	7282
AT3G43930	description:BRCT	2513
AT3G43940		1106
AT3G43950	description:Protein	653
AT3G43960	description:Cysteine	1820
AT3G43970		588
AT3G43980	description:Ribosomal	1085
AT3G43990	description:Bromo-adjacent	2646
AT3G44006		704
AT3G44010	description:Ribosomal	1746
AT3G44020	description:thylakoid	1483
AT3G44050	description:P-loop	6600
AT3G44060	description:F-box/RNI-like	1453
AT3G44070	description:Glycosyl	1141
AT3G44080	description:F-box	1494
AT3G44090	description:F-box	1636
AT3G44100	description:MD-2-related	1601
AT3G44110	description:DNAJ	2625
AT3G44115	description:ECA1	538
AT3G44120	description:F-box	1431
AT3G44130	description:F-box	1768
AT3G44140	description:transmembrane	303
AT3G44150	description:Expp1	1389
AT3G44160	description:Outer	3148
AT3G44170	description:plant	467
AT3G44180	description:syntaxin-related	921
AT3G44190	description:FAD/NAD(P)-binding	1914
AT3G44200	description:serine/threonine-protein	5692
AT3G44210		1062
AT3G44220	description:Late	1900
AT3G44230	description:transmembrane	614
AT3G44235	description:transmembrane	679
AT3G44240	description:Polynucleotidyl	719
AT3G44250	description:cytochrome	1740
AT3G44260	description:Polynucleotidyl	1338
AT3G44261	description:Pol	128
AT3G44265	description:beta-galactosidase-like	1108
AT3G44280	description:peptidyl-prolyl	2682
AT3G44290	description:NAC	2419
AT3G44300	description:nitrilase	2336
AT3G44310	description:nitrilase	2881
AT3G44320	description:nitrilase	2552
AT3G44326	description:F-box	1284
AT3G44330	description:M28	4613
AT3G44340		8779
AT3G44350	description:NAC	1944
AT3G44370	description:Membrane	5003
AT3G44380	description:Late	1101
AT3G44400	description:Disease	5103
AT3G44405		1041
AT3G44428	description:ECA1	332
AT3G44430	description:transmembrane	1493
AT3G44435		428
AT3G44440		416
AT3G44450		1164
AT3G44460	description:Basic-leucine	2474
AT3G44480	description:Disease	5962
AT3G44485	description:Low	923
AT3G44490	description:histone	1120
AT3G44510	description:alpha/beta-Hydrolases	3216
AT3G44530	description:histone	5802
AT3G44540	description:fatty	4604
AT3G44550	description:fatty	4694
AT3G44555		1057
AT3G44560	description:fatty	3484
AT3G44570	description:retrotransposon	1430
AT3G44580		1499
AT3G44590	description:60S	1288
AT3G44600	description:cyclophilin71	4369
AT3G44610	description:Protein	4236
AT3G44620	description:protein-tyrosine	2004
AT3G44630	description:Disease	4930
AT3G44635		972
AT3G44660	description:histone	821
AT3G44665	description:tyrosine	712
AT3G44670	description:Disease	4916
AT3G44680	description:histone	3490
AT3G44690		3625
AT3G44695	description:transmembrane	797
AT3G44700	description:transmembrane	801
AT3G44703	description:transmembrane	2190
AT3G44704		155
AT3G44710	description:transmembrane	1733
AT3G44713		2279
AT3G44716		1215
AT3G44718	description:Plant	203
AT3G44720	description:arogenate	1902
AT3G44730	description:kinesin-like	7295
AT3G44735	description:PHYTOSULFOKINE	1215
AT3G44740	description:Class	2001
AT3G44750	description:histone	2220
AT3G44753	description:transmembrane	2754
AT3G44755		897
AT3G44760	description:transmembrane	1056
AT3G44763		1040
AT3G44766		421
AT3G44769		312
AT3G44770	description:transmembrane	3627
AT3G44780	description:Cysteine	1003
AT3G44785	description:Zinc	227
AT3G44790	description:TRAF-like	1838
AT3G44800	description:Meprin	1501
AT3G44805	description:TRAF-like	1042
AT3G44810	description:F-box	1487
AT3G44820	description:Phototropic-responsive	3461
AT3G44830	description:Lecithin:cholesterol	3553
AT3G44840	description:S-adenosyl-L-methionine-dependent	1341
AT3G44850	description:Protein	3020
AT3G44860	description:farnesoic	1863
AT3G44870	description:S-adenosyl-L-methionine-dependent	1386
AT3G44880	description:Pheophorbide	2749
AT3G44890	description:ribosomal	2328
AT3G44900	description:cation/H+	2858
AT3G44910	description:cation/H+	2515
AT3G44920	description:cation/H+	2999
AT3G44930	description:cation/H+	2933
AT3G44935		607
AT3G44940	description:enabled-like	1985
AT3G44950	description:glycine-rich	241
AT3G44960	description:shugoshin	1798
AT3G44970	description:Cytochrome	2838
AT3G44980		1075
AT3G44990	description:xyloglucan	1909
AT3G45000	description:SNF7	1059
AT3G45010	description:serine	2845
AT3G45020	description:Ribosomal	1302
AT3G45030	description:Ribosomal	1048
AT3G45040	description:phosphatidate	3244
AT3G45050	description:transmembrane	1558
AT3G45060	description:high	1998
AT3G45070	description:P-loop	1210
AT3G45080	description:P-loop	1204
AT3G45090	description:P-loop	4728
AT3G45093	description:Defensin-like	613
AT3G45100	description:UDP-Glycosyltransferase	2944
AT3G45110		455
AT3G45130	description:lanosterol	5598
AT3G45140	description:lipoxygenase	4107
AT3G45150	description:TCP	497
AT3G45160	description:Putative	837
AT3G45170	description:GATA	767
AT3G45180	description:Ubiquitin-like	975
AT3G45190	description:SIT4	6752
AT3G45200		902
AT3G45210	description:transcription	1485
AT3G45220	description:Serine	1449
AT3G45230	description:hydroxyproline-rich	809
AT3G45240	description:geminivirus	3262
AT3G45243	description:ECA1	350
AT3G45245	description:ECA1	350
AT3G45248	description:ECA1	344
AT3G45252	description:ECA1	316
AT3G45260	description:C2H2-like	2453
AT3G45275	description:ECA1	457
AT3G45280	description:syntaxin	2685
AT3G45285	description:ECA1	335
AT3G45290	description:Seven	3972
AT3G45300	description:isovaleryl-CoA-dehydrogenase	3591
AT3G45310	description:Cysteine	2360
AT3G45320	description:transmembrane	619
AT3G45330	description:Concanavalin	2308
AT3G45390	description:LOW	2053
AT3G45400	description:exostosin	2155
AT3G45410	description:Concanavalin	2676
AT3G45420	description:Concanavalin	3467
AT3G45430	description:Concanavalin	2299
AT3G45440	description:Concanavalin	3061
AT3G45443		1970
AT3G45450	description:Double	1734
AT3G45460	description:IBR	1609
AT3G45470	description:IBR	756
AT3G45480	description:RING/U-box	1388
AT3G45490	description:reverse	931
AT3G45500		1275
AT3G45510	description:RING/U-box	938
AT3G45525	description:RING/U-box	555
AT3G45530	description:Cysteine/Histidine-rich	2326
AT3G45540	description:RING/U-box	1337
AT3G45555	description:RING/U-box	641
AT3G45560	description:zinc	3044
AT3G45570	description:RING/U-box	1022
AT3G45577	description:tRNA-intron	846
AT3G45580	description:RING/U-box	1522
AT3G45590	description:splicing	1314
AT3G45600	description:tetraspanin3	2196
AT3G45610	description:Dof-type	1299
AT3G45620	description:Transducin/WD40	2274
AT3G45630	description:RNA	5751
AT3G45640	description:mitogen-activated	2303
AT3G45645	description:transmembrane	191
AT3G45650	description:nitrate	2553
AT3G45660	description:Major	2334
AT3G45670	description:Protein	1139
AT3G45673		182
AT3G45680	description:Major	2297
AT3G45690	description:Major	1882
AT3G45700	description:Major	2555
AT3G45710	description:Major	2184
AT3G45720	description:Major	1899
AT3G45730		910
AT3G45740	description:hydrolase	2779
AT3G45750	description:Nucleotidyltransferase	4418
AT3G45760	description:Nucleotidyltransferase	2763
AT3G45770	description:Polyketide	2477
AT3G45780	description:phototropin	7489
AT3G45790	description:Protein	1217
AT3G45800	description:Plant	1652
AT3G45810	description:ferric	5066
AT3G45820		953
AT3G45830	description:nuclear	4928
AT3G45840	description:Cysteine/Histidine-rich	2040
AT3G45850	description:P-loop	5915
AT3G45851		104
AT3G45860	description:cysteine-rich	3173
AT3G45870	description:nodulin	1893
AT3G45880	description:2-oxoglutarate	2671
AT3G45890	description:root	2789
AT3G45900	description:Ribonuclease	2214
AT3G45910		737
AT3G45920	description:Protein	829
AT3G45930	description:Histone	693
AT3G45940	description:Glycosyl	2945
AT3G45950	description:Pre-mRNA	1342
AT3G45960	description:expansin-like	1451
AT3G45970	description:expansin-like	1142
AT3G45980	description:Histone	726
AT3G45990	description:Cofilin/tropomyosin-type	3358
AT3G46000	description:actin	1308
AT3G46010	description:actin	1451
AT3G46020	description:RNA-binding	1065
AT3G46030	description:Histone	747
AT3G46040	description:ribosomal	1312
AT3G46050	description:Galactose	1112
AT3G46060	description:RAB	2491
AT3G46070	description:C2H2-type	512
AT3G46080	description:C2H2-type	785
AT3G46086		116
AT3G46090	description:C2H2	1002
AT3G46100	description:Histidyl-tRNA	2895
AT3G46110	description:UPSTREAM	1843
AT3G46120	description:purple	3845
AT3G46130	description:myb	1469
AT3G46140	description:Protein	1130
AT3G46150		614
AT3G46160	description:Protein	1181
AT3G46170	description:NAD(P)-binding	1259
AT3G46180	description:UDP-galactose	2861
AT3G46190	description:TRAF-like	2240
AT3G46200	description:nudix	2898
AT3G46210	description:Ribosomal	2153
AT3G46220	description:E3	5034
AT3G46230	description:heat	749
AT3G46240	description:ER	2221
AT3G46260	description:kinase-like	1829
AT3G46270	description:receptor	3972
AT3G46280	description:kinase-like	3105
AT3G46290	description:hercules	3385
AT3G46300		969
AT3G46310		374
AT3G46320	description:Histone	643
AT3G46330	description:Leucine-rich	4351
AT3G46340	description:Leucine-rich	5239
AT3G46350	description:LRR	3120
AT3G46355	description:LRR	2071
AT3G46360	description:transmembrane	1285
AT3G46370	description:Leucine-rich	3994
AT3G46380		678
AT3G46390	description:NAC	428
AT3G46400	description:Leucine-rich	4356
AT3G46410	description:Protein	1591
AT3G46420	description:Leucine-rich	4426
AT3G46430	description:ATP	1215
AT3G46440	description:UDP-XYL	3052
AT3G46450	description:SEC14	2701
AT3G46460	description:ubiquitin-conjugating	1759
AT3G46470	description:RNA-binding	1057
AT3G46480	description:2-oxoglutarate	2452
AT3G46490	description:2-oxoglutarate	4307
AT3G46500	description:2-oxoglutarate	2524
AT3G46510	description:plant	3166
AT3G46520	description:actin-12	2201
AT3G46530	description:NB-ARC	3162
AT3G46540	description:ENTH/VHS	1756
AT3G46550	description:Fasciclin-like	1913
AT3G46560	description:Tim10/DDP	1106
AT3G46565	description:NAC	274
AT3G46570	description:Glycosyl	1070
AT3G46580	description:methyl-CPG-binding	1365
AT3G46590	description:TRF-like	3780
AT3G46600	description:GRAS	2380
AT3G46610	description:Pentatricopeptide	2712
AT3G46613	description:ROTUNDIFOLIA	608
AT3G46616		753
AT3G46617		959
AT3G46620	description:zinc	1958
AT3G46630	description:DCL	1882
AT3G46640	description:Homeodomain-like	2284
AT3G46650	description:UDP-Glycosyltransferase	2368
AT3G46660	description:UDP-glucosyl	1903
AT3G46666		295
AT3G46670	description:UDP-glucosyl	1808
AT3G46680	description:UDP-Glycosyltransferase	1425
AT3G46690	description:UDP-Glycosyltransferase	1920
AT3G46700	description:UDP-Glycosyltransferase	1907
AT3G46710	description:NB-ARC	3020
AT3G46720	description:UDP-Glycosyltransferase	1922
AT3G46730	description:NB-ARC	2686
AT3G46735		1536
AT3G46740	description:translocon	3598
AT3G46750	description:low-temperature-induced	2031
AT3G46760	description:Protein	1336
AT3G46770	description:AP2/B3-like	1677
AT3G46780	description:plastid	2587
AT3G46790	description:Tetratricopeptide	2364
AT3G46800	description:Cysteine/Histidine-rich	2174
AT3G46810	description:Cysteine/Histidine-rich	2392
AT3G46820	description:type	2579
AT3G46830	description:RAB	2595
AT3G46840	description:Subtilase	3102
AT3G46845		1407
AT3G46850	description:Subtilase	3124
AT3G46860	description:Serine	365
AT3G46870	description:Pentatricopeptide	1492
AT3G46880		1002
AT3G46890	description:maternal	787
AT3G46900		810
AT3G46910	description:Cullin	1110
AT3G46920	description:kinase	4592
AT3G46930	description:Protein	2512
AT3G46940	description:DUTP-PYROPHOSPHATASE-LIKE	872
AT3G46950	description:Mitochondrial	1594
AT3G46960	description:RNA	7349
AT3G46970	description:alpha-glucan	5239
AT3G46980	description:phosphate	3469
AT3G46990	description:DUF740	2080
AT3G47000	description:Glycosyl	2993
AT3G47010	description:Glycosyl	2896
AT3G47020	description:F-box	1215
AT3G47030	description:F-box	1475
AT3G47040	description:Glycosyl	2990
AT3G47050	description:Glycosyl	2954
AT3G47060	description:FTSH	4040
AT3G47070	description:thylakoid	1141
AT3G47080	description:Tetratricopeptide	2441
AT3G47090	description:Leucine-rich	3527
AT3G47100		536
AT3G47110	description:Leucine-rich	3850
AT3G47120	description:RNA	1877
AT3G47130	description:F-box	1372
AT3G47140	description:F-box	775
AT3G47150	description:F-box	1174
AT3G47160	description:RING/U-box	2127
AT3G47170	description:HXXXD-type	1822
AT3G47180	description:RING/U-box	816
AT3G47190	description:2-oxoglutarate	1675
AT3G47200	description:transmembrane	1648
AT3G47210		2083
AT3G47220	description:phosphatidylinositol-speciwc	3077
AT3G47250	description:transmembrane	1819
AT3G47290	description:phosphatidylinositol-speciwc	3832
AT3G47295		561
AT3G47300	description:SELT-like	1180
AT3G47340	description:glutamine-dependent	3591
AT3G47341	description:transmembrane	146
AT3G47350	description:hydroxysteroid	2885
AT3G47360	description:hydroxysteroid	2097
AT3G47370	description:Ribosomal	1307
AT3G47380	description:Plant	985
AT3G47390	description:cytidine/deoxycytidylate	5467
AT3G47400	description:Plant	2608
AT3G47410		804
AT3G47420	description:putative	2977
AT3G47430	description:peroxin	1279
AT3G47440	description:tonoplast	1162
AT3G47450	description:P-loop	3279
AT3G47460	description:Structural	6905
AT3G47470	description:light-harvesting	1690
AT3G47480	description:Calcium-binding	1079
AT3G47490	description:HNH	2837
AT3G47500	description:cycling	2241
AT3G47510	description:transmembrane	877
AT3G47520	description:malate	2339
AT3G47530	description:Pentatricopeptide	2002
AT3G47540	description:Chitinase	1595
AT3G47550	description:RING/FYVE/PHD	2173
AT3G47560	description:alpha/beta-Hydrolases	1492
AT3G47570	description:Leucine-rich	3534
AT3G47580	description:Leucine-rich	3447
AT3G47590	description:alpha/beta-Hydrolases	1821
AT3G47600	description:myb	2018
AT3G47610	description:transcription	2409
AT3G47620	description:TEOSINTE	2466
AT3G47630	description:translocator	2620
AT3G47640	description:basic	1918
AT3G47650	description:DnaJ/Hsp40	1183
AT3G47660	description:Regulator	3613
AT3G47670	description:Plant	1095
AT3G47675	description:ternary	863
AT3G47680	description:DNA	2179
AT3G47690	description:microtubule	2490
AT3G47700	description:RINT-1	3106
AT3G47710	description:BANQUO	1126
AT3G47720	description:similar	1574
AT3G47730	description:ATP-binding	5023
AT3G47740	description:ABC2	4607
AT3G47750	description:ATP	4706
AT3G47760	description:ABC2	4852
AT3G47770	description:ABC2	4943
AT3G47780	description:ABC2	4945
AT3G47790	description:ABC2	4381
AT3G47800	description:Galactose	2400
AT3G47810	description:Calcineurin-like	2497
AT3G47820	description:PLANT	2070
AT3G47830	description:DNA	1427
AT3G47833	description:succinate	1678
AT3G47836	description:transmembrane	1589
AT3G47840	description:Tetratricopeptide	2191
AT3G47850	description:tRNA	1884
AT3G47860	description:chloroplastic	1751
AT3G47870	description:LOB	1674
AT3G47890	description:Ubiquitin	7001
AT3G47910	description:Ubiquitin	7442
AT3G47920	description:Ta11-like	902
AT3G47930	description:L-galactono-1,4-lactone	3320
AT3G47940	description:DNAJ	1858
AT3G47950	description:H[+]-ATPase	5333
AT3G47960	description:Major	2981
AT3G47965		1000
AT3G47980	description:Integral	2786
AT3G47990	description:SUGAR-INSENSITIVE	3253
AT3G48000	description:aldehyde	3305
AT3G48010	description:cyclic	3003
AT3G48020		798
AT3G48030	description:hypoxia-responsive	2544
AT3G48040	description:RHO-related	2176
AT3G48050	description:protein	6355
AT3G48060	description:BAH	5796
AT3G48070	description:RING/U-box	2219
AT3G48080	description:alpha/beta-Hydrolases	2727
AT3G48090	description:alpha/beta-Hydrolases	2818
AT3G48100	description:response	2523
AT3G48110	description:glycine-tRNA	8176
AT3G48120	description:serine/arginine-rich	2682
AT3G48131	description:transmembrane	131
AT3G48140	description:B12D	1319
AT3G48150	description:anaphase-promoting	3175
AT3G48160	description:DP-E2F-like	2829
AT3G48170	description:aldehyde	4172
AT3G48180	description:CDP-diacylglycerol-glycerol-3-phosphate	607
AT3G48185	description:transmembrane	959
AT3G48187	description:Serine/Threonine-kinase	2540
AT3G48190	description:Serine/Threonine-kinase	27264
AT3G48195	description:Phox	4187
AT3G48200	description:transmembrane	5228
AT3G48205	description:plant	659
AT3G48208	description:Plant	599
AT3G48209	description:Plant	203
AT3G48210	description:kinetochore	2434
AT3G48220	description:F-box	1273
AT3G48230	description:carboxyl-terminal	3008
AT3G48231	description:low-molecular-weight	640
AT3G48240	description:Octicosapeptide/Phox/Bem1p	1329
AT3G48250	description:Pentatricopeptide	2517
AT3G48260	description:with	2710
AT3G48270	description:cytochrome	1602
AT3G48280	description:cytochrome	1846
AT3G48290	description:cytochrome	2050
AT3G48298		125
AT3G48300	description:cytochrome	1807
AT3G48310	description:cytochrome	1946
AT3G48320	description:cytochrome	1713
AT3G48330	description:protein-l-isoaspartate	1184
AT3G48340	description:Cysteine	1845
AT3G48343		1211
AT3G48344		784
AT3G48346		779
AT3G48350	description:Cysteine	1965
AT3G48360	description:BTB	2971
AT3G48380	description:Peptidase	3818
AT3G48390	description:MA3	2701
AT3G48400	description:Cysteine/Histidine-rich	1911
AT3G48410	description:alpha/beta-Hydrolases	4658
AT3G48420	description:Haloacid	2132
AT3G48425	description:DNAse	3039
AT3G48430	description:relative	5536
AT3G48440	description:Zinc	2809
AT3G48450	description:RPM1-interacting	1173
AT3G48460	description:GDSL-like	1834
AT3G48470	description:embryo	5143
AT3G48475		1369
AT3G48480	description:Cysteine	2188
AT3G48490		748
AT3G48500	description:Nucleic	3450
AT3G48510	description:AtIII18x5-like	1236
AT3G48520	description:cytochrome	1921
AT3G48530	description:SNF1-related	2385
AT3G48540	description:Cytidine/deoxycytidylate	2241
AT3G48550	description:SHOOT	960
AT3G48560	description:chlorsulfuron/imidazolinone	2466
AT3G48570	description:secE/sec61-gamma	1454
AT3G48580	description:xyloglucan	1437
AT3G48590	description:nuclear	1425
AT3G48600	description:SWIB	1414
AT3G48610	description:non-specific	2729
AT3G48620	description:Outer	1838
AT3G48630		582
AT3G48640	description:transmembrane	1253
AT3G48660	description:transmembrane	474
AT3G48670	description:XH/XS	3312
AT3G48675	description:egg	359
AT3G48680	CAL2	2106
AT3G48690	description:alpha/beta-Hydrolases	1188
AT3G48700	description:carboxyesterase	1231
AT3G48710	description:DEK	3693
AT3G48720	description:HXXXD-type	3330
AT3G48730	description:glutamate-1-semialdehyde	2207
AT3G48740	description:Nodulin	2366
AT3G48750	description:cell	3187
AT3G48760	description:DHHC-type	2658
AT3G48770	description:ATP/DNA	8962
AT3G48780	description:serine	4232
AT3G48790	description:Pyridoxal	1925
AT3G48800	description:Sterile	1449
AT3G48810	description:Pentatricopeptide	2711
AT3G48820	description:Glycosyltransferase	3212
AT3G48830	description:tRNA	3319
AT3G48835	description:polynucleotide	2799
AT3G48840	description:RNA-binding	1536
AT3G48850	description:phosphate	2043
AT3G48860	description:coiled-coil	5469
AT3G48870	description:Clp	4576
AT3G48880	description:RNI-like	2318
AT3G48890	description:membrane-associated	2140
AT3G48900	description:single-stranded	4535
AT3G48920	description:myb	1600
AT3G48930	description:Nucleic	1510
AT3G48940	description:Remorin	1693
AT3G48950	description:Pectin	2387
AT3G48960	description:Ribosomal	968
AT3G48970	description:Heavy	1407
AT3G48980	description:O-glucosyltransferase	3330
AT3G48990	description:AMP-dependent	2921
AT3G49000	description:RNA	3426
AT3G49010	description:breast	1811
AT3G49020	description:FBD,	1581
AT3G49030	description:FBD,	1631
AT3G49040	description:F-box/FBD/LRR	1357
AT3G49045	description:F-box/FBD/LRR	478
AT3G49050	description:alpha/beta-Hydrolases	3141
AT3G49055	description:ATP-binding	1859
AT3G49060	description:U-box	5007
AT3G49070	description:transmembrane	1250
AT3G49080	description:Ribosomal	2630
AT3G49100	description:Signal	1689
AT3G49110	description:peroxidase	2678
AT3G49115		200
AT3G49120	description:peroxidase	2682
AT3G49130	description:SWAP	1255
AT3G49140	description:Pentatricopeptide	3880
AT3G49142	description:Tetratricopeptide	2096
AT3G49150	description:F-box/FBD/LRR	1572
AT3G49155	description:F-box/LRR	1306
AT3G49160	description:pyruvate	3111
AT3G49170	description:Tetratricopeptide	2783
AT3G49180	description:Transducin/WD40	2257
AT3G49190	description:O-acyltransferase	2546
AT3G49200	description:O-acyltransferase	2377
AT3G49210	description:O-acyltransferase	3480
AT3G49220	description:Plant	4225
AT3G49230	description:transmembrane	1253
AT3G49240	description:Pentatricopeptide	2242
AT3G49250	description:defective	5038
AT3G49260	description:IQ-domain	3580
AT3G49270	description:extensin-like	872
AT3G49290	description:ABL	3159
AT3G49300	description:proline-rich	835
AT3G49305	description:transmembrane	786
AT3G49307	description:Expressed	992
AT3G49310	description:Major	3331
AT3G49320	description:Metal-dependent	2500
AT3G49330	description:Plant	888
AT3G49340	description:Cysteine	1448
AT3G49350	description:Ypt/Rab-GAP	3199
AT3G49360	description:6-phosphogluconolactonase	1459
AT3G49370	description:Calcium-dependent	3454
AT3G49380	description:IQ-domain	1861
AT3G49390	description:CTC-interacting	4028
AT3G49400	description:Transducin/WD40	5460
AT3G49410	description:Transcription	4637
AT3G49420	description:Got1/Sft2-like	2101
AT3G49430	description:SER/ARG-rich	3645
AT3G49440	description:F-box	602
AT3G49450	description:F-box	1237
AT3G49460	description:60S	265
AT3G49470	description:nascent	1668
AT3G49480	description:F-box/FBD/LRR	1593
AT3G49490		3992
AT3G49500	description:RNA-dependent	4692
AT3G49510	description:F-box	1166
AT3G49520	description:F-box	1166
AT3G49530	description:NAC	2516
AT3G49540		988
AT3G49550		1003
AT3G49551		167
AT3G49560	description:Mitochondrial	1618
AT3G49570	description:response	743
AT3G49580	description:response	707
AT3G49590	description:Autophagy-related	2795
AT3G49600	description:ubiquitin-specific	6822
AT3G49601	description:pre-mRNA-splicing	2304
AT3G49610	description:B3	1004
AT3G49620	description:2-oxoglutarate	3303
AT3G49630	description:2-oxoglutarate	2551
AT3G49640	description:Aldolase-type	2700
AT3G49645	description:FAD-binding	1985
AT3G49650	description:P-loop	4942
AT3G49660	description:Transducin/WD40	2149
AT3G49670	description:Leucine-rich	3695
AT3G49680	description:branched-chain	3216
AT3G49690	description:myb	1546
AT3G49700	description:1-aminocyclopropane-1-carboxylate	1692
AT3G49710	description:Pentatricopeptide	2165
AT3G49720	description:transmembrane	2208
AT3G49725	description:GTP-binding	3229
AT3G49730	description:Tetratricopeptide	4635
AT3G49740	description:Tetratricopeptide	2411
AT3G49744		173
AT3G49750	description:receptor	1233
AT3G49760	description:basic	894
AT3G49770		986
AT3G49780	description:phytosulfokine	1906
AT3G49790	description:Carbohydrate-binding	2003
AT3G49796		367
AT3G49800	description:BSD	2146
AT3G49810	description:ARM	2727
AT3G49820		794
AT3G49830	description:P-loop	1731
AT3G49840	description:transmembrane	2492
AT3G49845	description:cysteine-rich	1251
AT3G49850	description:telomere	2003
AT3G49860	description:ADP-ribosylation	1157
AT3G49870	description:ADP-ribosylation	2011
AT3G49880	description:glycosyl	2719
AT3G49890		1337
AT3G49900	description:Phototropic-responsive	2150
AT3G49910	description:Translation	1226
AT3G49920	description:voltage	1863
AT3G49930	description:C2H2	1080
AT3G49940	description:LOB	1865
AT3G49950	description:GRAS	1468
AT3G49960	description:Peroxidase	1708
AT3G49970	description:Phototropic-responsive	2464
AT3G49980	description:F-box	1344
AT3G49990	description:Low	2114
AT3G50000	description:casein	2623
AT3G50010	description:Cysteine/Histidine-rich	2590
AT3G50020	description:Serine	630
AT3G50030	description:ARM-repeat/Tetratricopeptide	1796
AT3G50040		1808
AT3G50050	description:Eukaryotic	3519
AT3G50060	description:myb	1719
AT3G50070	description:CYCLIN	1700
AT3G50080	description:VIER	1924
AT3G50090	description:Exonuclease	1904
AT3G50100	description:small	2380
AT3G50110	description:PTEN	4204
AT3G50120	description:transmembrane	2352
AT3G50123		143
AT3G50130	description:transmembrane	2292
AT3G50140	description:transmembrane	2410
AT3G50150	description:transmembrane	1915
AT3G50160	description:transmembrane	2580
AT3G50170	description:transmembrane	2038
AT3G50180	description:transmembrane	2221
AT3G50190	description:transmembrane	2193
AT3G50200		1169
AT3G50210	description:2-oxoglutarate	2377
AT3G50220	description:IRREGULAR	1392
AT3G50230	description:Leucine-rich	2750
AT3G50240	description:ATP	5652
AT3G50250	description:transmembrane	446
AT3G50260	description:cooperatively	968
AT3G50270	description:HXXXD-type	1710
AT3G50280	description:HXXXD-type	1740
AT3G50290	description:HXXXD-type	1584
AT3G50300	description:HXXXD-type	1650
AT3G50310	description:mitogen-activated	1446
AT3G50320		986
AT3G50330	description:basic	1422
AT3G50340		1853
AT3G50350	description:membrane	800
AT3G50360	description:centrin2	1624
AT3G50370		8379
AT3G50373	description:transcription	462
AT3G50380	description:vacuolar	14342
AT3G50390	description:Transducin/WD40	1671
AT3G50400	description:GDSL-like	1908
AT3G50410	description:OBF	1223
AT3G50420	description:Pentatricopeptide	2778
